Themes/Phrases,strength
intervention rates,1.0
drug problems,1.0
simple solutions,1.0
complex problem,1.0
alcohol problems,1.0
injury events,1.0
describing patients,1.0
care providers,1.0
little hope,1.0
injury epidemiology,1.0
ever-increasing demand,1.0
practice environment,1.0
at-risk drinking,1.0
significant severity,1.0
common language,1.0
emergency department setting,1.5
physical environment,1.0
health care practitioners,1.5
additional complexities,1.0
real-world interventions,1.0
emergency medicine,1.0
physical injury,1.0
relatively minor,1.0
preventive services,1.0
clinical practice,1.0
evidence base,1.0
sensitive issues,1.0
alcohol problems,1.0
much debate,1.0
emergency physicians,1.0
early stages,1.0
faculty development programs,1.5
Translational research,1.0
effective interventions,1.0
policy research,1.0
much attention,1.0
annual meeting,1.0
established researchers,1.0
individual patient,1.0
policy directions,1.0
injured patients,1.0
acute care,1.0
drug problems,1.0
substance abuse treatment services,2.0
transporting patients,1.0
standard curricula,1.0
attending institutions,1.0
cost-effective ways,1.0
universal screening,1.0
emergency medicine,1.0
including training,1.0
drug problems,1.0
research awards,1.0
translational research,1.0
population impact,1.0
specific policy,1.0
lost funding,1.0
several provisions,1.0
primary goal,1.0
education standards,1.0
injured patients,1.0
unintended consequences,1.0
national level,1.0
referring institutions,1.0
original law,1.0
acute care institution,1.5
emergency physicians,1.0
technical correction,1.0
trauma team response,1.5
injured patients,1.0
care hospital,1.0
injured patients,1.0
injured patients,1.0
routine part,1.0
acute care hospitals,1.5
injured patients,1.0
Several states,1.0
substance abuse,1.0
treatment parity legislation,1.5
federal legislation,1.0
parity laws,1.0
comparable coverage,1.0
insurance plans,1.0
insurance plans,1.0
parity statutes,1.0
limited access,1.0
prison terms,1.0
justice system,1.0
necessary treatment,1.0
acute care facility,1.5
emergency departments,1.0
practitioner knowledge,1.0
Intervention course,1.0
trauma care,1.0
trauma centers,1.0
sufficient relationship,1.0
severe problems,1.0
trauma team,1.0
standardized approach,1.0
cardiac problems,1.0
initial care,1.0
injured patient,1.0
treatment system,1.0
didactic sessions,1.0
skill-building sessions,1.0
acute alcohol intoxication,1.5
brief intervention,1.0
Optimal Care,1.0
injured patients,1.0
alcohol use,1.0
similar approach,1.0
recent version,1.0
blood alcohol testing,1.5
trauma centers,1.0
injured patients,1.0
alcohol use,1.0
research center,1.0
primary care alcohol research center,2.5
trauma alcohol research,1.5
legal issues,1.0
great merit,1.0
alcohol researchers,1.0
critical care alcohol research center,2.5
distinct populations,1.0
federal agencies,1.0
rural settings,1.0
community practice,1.0
injured patients,1.0
alcohol problems,1.0
promoting research,1.0
alcohol research center,1.5
particular project,1.0
budget cap,1.0
alcohol research,1.0
emergency medicine,1.0
developing partnerships,1.0
indirect rate,1.0
indirect rate,1.0
indirect costs,1.0
academic centers,1.0
administrative group,1.0
significant issue,1.0
alcohol problems,1.0
treatment referral,1.0
emergency department,1.0
indirect costs,1.0
research capacity,1.0
interdisciplinary teams,1.0
research community,1.0
emergency department patients,1.5
growing body,1.0
funding strategies,1.0
emergency department,1.0
alcohol problems,1.0
improving detection,1.0
emergency department,1.0
extra staff,1.0
different clients,1.0
echoed Gentilello,1.0
research team,1.0
multi-center study,1.0
alcohol problems,1.0
standard intervention,1.0
full-time employees,1.0
standardized intervention,1.0
audio tapes,1.0
trauma surgery staff,1.5
blood alcohol content,1.5
blood alcohol tests,1.5
cost data,1.0
admission rates,1.0
trauma journals,1.0
medicine practitioners,1.0
domestic violence,1.0
positive blood,1.0
alcohol screens,1.0
resource guide,1.0
collaborative studies,1.0
research methodologists,1.0
overall quality,1.0
including safety,1.0
effectiveness data,1.0
clinical applications,1.0
various disciplines,1.0
Optimal Care,1.0
alcohol test,1.0
head injuries,1.0
legal right,1.0
alcohol use,1.0
alcohol impairment,1.0
alcohol withdrawal,1.0
emergency medicine practice,1.5
substance abuse journals,1.5
trauma centers,1.0
alcohol-impaired patients,1.0
surgical conditions,1.0
annual meetings,1.0
substance abuse category,1.5
substance abuse,1.0
annual meeting,1.0
health services researchers,1.5
standardized manuals,1.0
interactive project,1.0
great collaboration,1.0
emergency medicine journals,1.5
separate category,1.0
emergency medicine,1.0
good medicine,1.0
attending physicians,1.0
encouraged researchers,1.0
decision trees,1.0
emergency medicine specialists,1.5
alcohol researchers,1.0
grant review process,1.5
learning opportunity,1.0
brief interventions,1.0
sound research,1.0
required changes,1.0
different models,1.0
demonstration projects,1.0
practice changes,1.0
alcohol problems,1.0
domestic violence,1.0
re-submitting grants,1.0
reasonable requirements,1.0
uniform adherence,1.0
dependent patients,1.0
spontaneous remissions,1.0
emergency departments,1.0
external body,1.0
appropriate requirements,1.0
methodological issues,1.0
rigorous methodologists,1.0
emergency departments,1.0
emergency medicine,1.0
multiple perspectives,1.0
clinical settings,1.0
health services research,1.5
clinical epidemiology,1.0
alcohol interventions,1.0
rigorous follow-through,1.0
long-term studies,1.0
current mechanisms,1.0
review committees,1.0
clinical research,1.0
alcohol interventions,1.0
reviewing alcohol interventions,1.5
emergency physician,1.0
different disciplines,1.0
peer-review group,1.0
trauma surgeons,1.0
adapting interventions,1.0
substance abuse,1.0
patient outcomes,1.0
process measures,1.0
clinical research,1.0
successful multi-center trial,1.5
screening instrument,1.0
powerful impact,1.0
suitable outcome,1.0
emergency physicians,1.0
Regarding collaboration,1.0
subsequent proposals,1.0
positive change,1.0
clinical setting,1.0
policy implications,1.0
funding sources,1.0
standard operating procedures,1.5
positive findings,1.0
motivational strategies,1.0
observed concern,1.0
addiction specialists,1.0
indirect grant costs,1.5
indirect cost proposal,1.5
grant period,1.0
NIAAA-sponsored event,1.0
intervention studies,1.0
multi-center studies,1.0
positive findings,1.0
indirect costs,1.0
clinical preventive services,1.5
alcohol-related assessment,1.0
decreased re-visits,1.0
primary outcome,1.0
care use,1.0
follow-up interviews,1.0
brief interventions,1.0
modest changes,1.0
alcohol intake assessment,1.5
decreased alcohol intake,1.5
perhaps studies,1.0
alcohol intake,1.0
intervention effect,1.0
control group,1.0
clinical areas,1.0
simple phone call,1.5
useful source,1.0
follow-up data,1.0
medical journals,1.0
multi-disciplinary input,1.0
alcohol methodologists,1.0
large grants,1.0
clinical practice,1.0
alcohol studies,1.0
academic centers,1.0
trauma research,1.0
emergency department,1.0
trauma center,1.0
related difficulties,1.0
medical journals,1.0
confidence intervals,1.0
functioning practice,1.0
clinically applicable,1.0
appropriate journals,1.0
non-academic centers,1.0
emergency department,1.0
social strategy,1.0
research activities,1.0
knowledge base aspect,1.5
practice settings,1.0
continuing intervention research,1.5
computer-based methods,1.0
emergency physicians,1.0
novel interventions,1.0
Richmond-Kotelchuck model,1.0
knowledge base,1.0
research activities,1.0
delivering counseling,1.0
trauma centers,1.0
alcohol researchers,1.0
